UserId,Age,Address,Gender,UserType,Total_Quantity,Total_Value,Total_churnPeriod,StDev_Quantity,StDev_Value,StDev_churnPeriod,AvgTimeDelta,Recency,Unique_ProductCategory,Unique_ItemId,Unique_Location,Unique_TransactionId,Unique_churnPeriod,Total_Quantity_per_Unique_ProductCategory,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_Location,Total_Quantity_per_Unique_TransactionId,Total_Value_per_Unique_ProductCategory,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_Location,Total_Value_per_Unique_TransactionId,Label
204041,36,ME,M,Value,16,330,180,0.5163977794943222,30.489342400255207,0.0,3.0,62,4,6,6,6,1,3.2,2.2857142857142856,2.2857142857142856,2.2857142857142856,66.0,47.142857142857146,47.142857142857146,47.142857142857146,Nonchurner
1643825,24,FL,F,Value,53,3628,690,1.0195713274212868,244.87384829954314,0.0,3.391304347826087,8,10,23,23,23,1,4.818181818181818,2.2083333333333335,2.2083333333333335,2.2083333333333335,329.8181818181818,151.16666666666666,151.16666666666666,151.16666666666666,Nonchurner
303768,20,CA,F,Fast,16,626,150,1.0954451150103321,125.38420953214165,0.0,10.8,10,5,5,5,5,1,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,104.33333333333333,104.33333333333333,104.33333333333333,104.33333333333333,Nonchurner
478503,30,ID,M,Fast,18,3694,240,0.4629100498862757,800.1060197605957,0.0,2.125,6,8,8,8,8,1,2.0,2.0,2.0,2.0,410.44444444444446,410.44444444444446,410.44444444444446,410.44444444444446,Churner
348509,26,GA,M,Inspiration,117,6752,1590,0.49452737989214485,101.69549941305577,0.0,1.5660377358490567,1,9,53,53,53,1,11.7,2.1666666666666665,2.1666666666666665,2.1666666666666665,675.2,125.03703703703704,125.03703703703704,125.03703703703704,Churner
1376945,28,HI,M,Inspiration,3,19,30,0.0,0.0,0.0,0.0,57,1,1,1,1,1,1.5,1.5,1.5,1.5,9.5,9.5,9.5,9.5,Nonchurner
1817516,36,ME,M,Value,27,557,240,1.407885953173359,33.84391694656094,0.0,0.0,64,4,8,8,8,1,5.4,3.0,3.0,3.0,111.4,61.888888888888886,61.888888888888886,61.888888888888886,Churner
1994651,24,FL,F,Value,87,4049,1140,0.5150646633160448,89.60263550914627,0.0,0.9736842105263158,42,10,38,38,38,1,7.909090909090909,2.230769230769231,2.230769230769231,2.230769230769231,368.09090909090907,103.82051282051282,103.82051282051282,103.82051282051282,Nonchurner
1892384,22,DC,F,Value,46,15038,600,0.7326950970650465,987.9299943235911,0.0,2.1,33,12,20,4,20,1,3.5384615384615383,2.1904761904761907,9.2,2.1904761904761907,1156.7692307692307,716.0952380952381,3007.6,716.0952380952381,Churner
1349079,24,FL,F,Value,44,5415,570,0.7492686492653552,307.1147089353495,0.0,2.736842105263158,16,10,19,19,19,1,4.0,2.2,2.2,2.2,492.27272727272725,270.75,270.75,270.75,Churner
1990004,22,DC,F,Value,70,6229,930,0.44480272297456924,168.5144772186,0.0,0.0,57,12,31,4,31,1,5.384615384615385,2.1875,14.0,2.1875,479.15384615384613,194.65625,1245.8,194.65625,Churner
2162004,22,DC,F,Value,11,780,120,1.5,181.51216671801,0.0,0.0,60,4,4,4,4,1,2.2,2.2,2.2,2.2,156.0,156.0,156.0,156.0,Churner
1538206,24,FL,F,Value,220,10930,2670,0.8930271252172866,129.6865869216045,0.0,0.7640449438202247,17,10,89,89,89,1,20.0,2.4444444444444446,2.4444444444444446,2.4444444444444446,993.6363636363636,121.44444444444444,121.44444444444444,121.44444444444444,Churner
27360,20,CA,F,Fast,2,250,30,0.0,0.0,0.0,0.0,44,1,1,1,1,1,1.0,1.0,1.0,1.0,125.0,125.0,125.0,125.0,Nonchurner
1805643,26,GA,M,Inspiration,10,477,150,0.0,84.02856657113698,0.0,1.4,42,5,5,5,5,1,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,79.5,79.5,79.5,79.5,Churner
5242,24,FL,F,Value,76,3113,960,1.6014106684521177,125.24794361199011,0.0,0.96875,13,10,32,32,32,1,6.909090909090909,2.303030303030303,2.303030303030303,2.303030303030303,283.0,94.33333333333333,94.33333333333333,94.33333333333333,Nonchurner
2151848,24,FL,F,Value,62,1476,870,0.3509312031717982,47.85121645534372,0.0,2.6551724137931036,0,10,29,29,29,1,5.636363636363637,2.066666666666667,2.066666666666667,2.066666666666667,134.1818181818182,49.2,49.2,49.2,Nonchurner
1976459,24,FL,F,Value,15,1142,150,1.7320508075688772,288.8655396546981,0.0,0.0,65,5,5,5,5,1,2.5,2.5,2.5,2.5,190.33333333333334,190.33333333333334,190.33333333333334,190.33333333333334,Churner
1352574,22,DC,F,Value,8,267,120,0.0,46.32044185166343,0.0,0.0,19,4,4,4,4,1,1.6,1.6,1.6,1.6,53.4,53.4,53.4,53.4,Nonchurner
1942126,22,DC,F,Value,17,2525,210,1.1338934190276817,458.6286494488085,0.0,3.0,31,7,7,4,7,1,2.125,2.125,3.4,2.125,315.625,315.625,505.0,315.625,Nonchurner
2115345,20,CA,F,Fast,16,417,240,0.0,29.67171572871569,0.0,0.0,12,8,8,8,8,1,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.7777777777777777,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,Nonchurner
99005,28,HI,M,Inspiration,63,2161,900,0.3051285766293647,29.62580810285394,0.0,0.0,11,5,30,30,30,1,10.5,2.032258064516129,2.032258064516129,2.032258064516129,360.1666666666667,69.70967741935483,69.70967741935483,69.70967741935483,Churner
1972123,24,FL,F,Value,5,237,30,0.0,0.0,0.0,0.0,48,1,1,1,1,1,2.5,2.5,2.5,2.5,118.5,118.5,118.5,118.5,Churner
1539770,22,DC,F,Value,16,1184,150,0.4472135954999579,230.27418439764367,0.0,0.0,18,5,5,4,5,1,2.6666666666666665,2.6666666666666665,3.2,2.6666666666666665,197.33333333333334,197.33333333333334,236.8,197.33333333333334,Churner
2042238,24,FL,F,Value,66,6255,870,0.454858826147342,315.28027252954695,0.0,2.4482758620689653,15,10,29,29,29,1,6.0,2.2,2.2,2.2,568.6363636363636,208.5,208.5,208.5,Churner
1189491,34,LA,M,Value,34,1803,450,0.4577377082170634,97.6533226704111,0.0,4.533333333333333,12,6,15,15,15,1,4.857142857142857,2.125,2.125,2.125,257.57142857142856,112.6875,112.6875,112.6875,Churner
1880671,20,CA,F,Fast,49,2256,570,1.1697953037312034,100.42124725666773,0.0,3.1578947368421053,20,13,19,19,19,1,3.5,2.45,2.45,2.45,161.14285714285714,112.8,112.8,112.8,Churner
