UserId,Age,Address,Gender,UserType,Unnamed: 0,TransactionId,Timestamp,ItemId,Quantity,Value,Location,ProductCategory,Parsed_Date,Label,churnPeriod
2105346,24,FL,F,Value,0,1215554,2000-12-31,212155541,2,150,Fleming Island,Apparels,2000-12-31,Churner,21
2105346,24,FL,F,Value,1,1216546,2000-12-31,212165461,2,180,Ponte Vedra Beach,Consumer Electronics,2000-12-31,Churner,21
2105346,24,FL,F,Value,2,1216591,2000-12-31,212165911,2,29,Bostwick,Footwear,2000-12-31,Churner,21
2105346,24,FL,F,Value,3,1217250,2000-12-31,212172501,2,200,Branford,Food,2000-12-31,Churner,21
2105346,24,FL,F,Value,4,1217260,2000-12-31,212172601,2,140,Bryceville,Health & Beauty Supplements,2000-12-31,Churner,21
2105346,24,FL,F,Value,5,1217264,2000-12-31,212172641,3,11,Callahan,Jwellary,2000-12-31,Churner,21
2105346,24,FL,F,Value,6,1217323,2000-12-31,212173231,2,34,Day,Books,2000-12-31,Churner,21
2105346,24,FL,F,Value,7,1218255,2000-12-31,212182551,2,37,Lake City,Mobile Phones,2000-12-31,Churner,21
2085921,28,HI,M,Inspiration,8,928375,2000-11-15,29283751,6,401,Aiea,Apparels,2000-11-15,Nonchurner,21
2085921,28,HI,M,Inspiration,9,1589715,2001-02-23,215897151,3,27,Anahola,Consumer Electronics,2001-02-23,Nonchurner,21
2085921,28,HI,M,Inspiration,10,1591343,2001-02-23,215913431,7,475,Captain Cook,Footwear,2001-02-23,Nonchurner,21
2085921,28,HI,M,Inspiration,11,1591491,2001-02-23,215914911,2,57,Eleele,Food,2001-02-23,Nonchurner,21
1976718,22,DC,F,Value,12,1267779,2001-01-09,212677791,2,190,Washington,Apparels,2001-01-09,Churner,21
1976718,22,DC,F,Value,13,1268727,2001-01-09,212687271,2,46,Naval Anacost Annex,Consumer Electronics,2001-01-09,Churner,21
1976718,22,DC,F,Value,14,1269320,2001-01-09,212693201,3,55,Washington Navy Yard,Footwear,2001-01-09,Churner,21
1976718,22,DC,F,Value,15,1269441,2001-01-09,212694411,6,141,Parcel Return Service,Food,2001-01-09,Churner,21
1976718,22,DC,F,Value,16,1269817,2001-01-09,212698171,2,126,Washington,Health & Beauty Supplements,2001-01-09,Churner,21
1976718,22,DC,F,Value,17,1270041,2001-01-09,212700411,2,53,Naval Anacost Annex,Jwellary,2001-01-09,Churner,21
1976718,22,DC,F,Value,18,1270119,2001-01-09,212701191,2,46,Washington Navy Yard,Books,2001-01-09,Churner,21
1976718,22,DC,F,Value,19,1270462,2001-01-09,212704621,11,131,Parcel Return Service,Mobile Phones,2001-01-09,Churner,21
1976718,22,DC,F,Value,20,1270739,2001-01-09,212707391,2,59,Washington,Fashion Accessories,2001-01-09,Churner,21
1976718,22,DC,F,Value,21,1271767,2001-01-09,212717671,3,45,Naval Anacost Annex,Home Decor,2001-01-09,Churner,21
1976718,22,DC,F,Value,22,1274769,2001-01-09,212747691,2,17,Washington Navy Yard,Kitchen & Home Appliances,2001-01-09,Churner,21
1976718,22,DC,F,Value,23,1380644,2001-01-22,213806441,6,446,Parcel Return Service,Toys & Games,2001-01-22,Churner,21
1976718,22,DC,F,Value,24,1380762,2001-01-22,213807621,2,86,Washington,Apparels,2001-01-22,Churner,21
1976718,22,DC,F,Value,25,1381138,2001-01-22,213811381,2,349,Naval Anacost Annex,Consumer Electronics,2001-01-22,Churner,21
1976718,22,DC,F,Value,26,1381448,2001-01-22,213814481,2,38,Washington Navy Yard,Footwear,2001-01-22,Churner,21
1976718,22,DC,F,Value,27,1381580,2001-01-22,213815801,7,145,Parcel Return Service,Food,2001-01-22,Churner,21
1976718,22,DC,F,Value,28,1381838,2001-01-22,213818381,2,106,Washington,Health & Beauty Supplements,2001-01-22,Churner,21
1976718,22,DC,F,Value,29,1381895,2001-01-22,213818951,5,221,Naval Anacost Annex,Jwellary,2001-01-22,Churner,21
1976718,22,DC,F,Value,30,1382036,2001-01-22,213820361,2,61,Washington Navy Yard,Books,2001-01-22,Churner,21
1976718,22,DC,F,Value,31,1382040,2001-01-22,213820401,2,140,Parcel Return Service,Mobile Phones,2001-01-22,Churner,21
1976718,22,DC,F,Value,32,1382055,2001-01-22,213820551,2,46,Washington,Fashion Accessories,2001-01-22,Churner,21
1976718,22,DC,F,Value,33,1382117,2001-01-22,213821171,2,133,Naval Anacost Annex,Home Decor,2001-01-22,Churner,21
1976718,22,DC,F,Value,34,1382136,2001-01-22,213821361,2,53,Washington Navy Yard,Kitchen & Home Appliances,2001-01-22,Churner,21
1976718,22,DC,F,Value,35,1382149,2001-01-22,213821491,2,38,Parcel Return Service,Toys & Games,2001-01-22,Churner,21
1976718,22,DC,F,Value,36,1382241,2001-01-22,213822411,2,70,Washington,Apparels,2001-01-22,Churner,21
